hero_id,hero_kr,hero_en,attr,ability_id,skill_kr,skill_en,kind,cooldown,desc_kr,scepter_kr,shard_kr
abaddon,아바돈,Abaddon,all,abaddon_death_coil,안개 고리,Mist Coil,ability,8/7/6/5,아바돈이 자신의 체력을 소모하여 치명적인 안개 고리를 날려 보냅니다. 적 대상에게는 피해를 주고 아군 대상에게는 체력을 회복시켜 줍니다.,,
abaddon,아바돈,Abaddon,all,abaddon_aphotic_shield,어둠의 보호막,Aphotic Shield,ability,12/10/8/6,"아군 유닛 주위에 어둠 에너지를 소환하여, 해제를 적용하고 만료되기 전에 일정량의 피해를 흡수하는 모든 피해 방어막을 생성합니다. 방어막이 깨지면 터지면서 흡수할 수 있는 피해만큼 주위 일정 범위에 피해를 줍니다. 해제 유형: 강한 해제",,흡수한 피해의 75%만큼 주위 적에게 피해를 줍니다.
abaddon,아바돈,Abaddon,all,abaddon_frostmourne,아베르누스의 저주,Curse of Avernus,ability,-,"아바돈이 적을 타격할 때 오싹한 저주를 걸어 둔화하고, 지속하여 피해를 받으며, 해당 대상을 공격하는 모두가 공격 속도 증가 효과를 얻습니다. 건물에 대한 지속 피해 요소는 100% 감소합니다.",,
abaddon,아바돈,Abaddon,all,abaddon_withering_mist,피폐의 안개,Withering Mist,innate,-,적에게 피해를 주면 5초 동안 피폐의 안개 약화 효과를 적용합니다. 영향받은 적은 체력이 40% 아래로 떨어지면 체력 회복이 29.5% 감소합니다.,,
abaddon,아바돈,Abaddon,all,abaddon_borrowed_time,시간 왜곡,Borrowed Time,ability,85/75/65,"활성화되면, 해제를 적용하고 받는 모든 피해가 치유 효과로 변환됩니다. 기술이 쿨다운 상태가 아닐 때 아바돈의 체력이 400 이하로 내려가면 기술이 자동으로 활성화됩니다. 해제 유형: 강한 해제","지속시간이 증가합니다. 시간 왜곡이 활성화되면, 아군이 아바돈의 안개 고리 시전 범위 안에 있는 동안 550 이상의 피해를 받을 때마다 해당 아군에게 안개 고리가 개별적으로 자동 발사됩니다.",
alchemist,연금술사,Alchemist,str,alchemist_acid_spray,산성 스프레이,Acid Spray,ability,21,대상 지역에 강한 압력으로 산성 물질을 분사합니다. 오염된 땅을 밟는 적 유닛은 매초 피해를 받고 방어력이 감소합니다.,,
alchemist,연금술사,Alchemist,str,alchemist_unstable_concoction,불안정한 혼합물,Unstable Concoction,ability,17,연금술사가 적 영웅에게 불안정한 혼합물을 던져 폭발 범위 내에 있는 적에게 피해를 주고 기절시킵니다. 혼합물을 오래 섞을수록 공격력과 기절 시간이 증가합니다. 혼합물을 섞는 동안 연금술사의 속도가 빨라집니다. 제조 5초 후에 혼합물의 공격력과 기절 시간이 가장 높습니다. 그러나 5.5초가 지날 때까지 혼합물을 던지지 않으면 연금술사의 손에서 폭발합니다.,,
alchemist,연금술사,Alchemist,str,alchemist_corrosive_weaponry,부식성 무기,Corrosive Weaponry,ability,-,연금술사가 산을 무기에 덧입히고 주문을 강화하여 타격하는 적에게 중첩하는 둔화 및 기본 공격력 감소 효과를 적용합니다. 공격 시 중첩 2회를 적용합니다. 불안정한 혼합물은 혼합하는 시간 1초당 중첩 1회를 적용합니다.,,
alchemist,연금술사,Alchemist,str,alchemist_berserk_potion,광폭화 물약,Berserk Potion,shard,35,"연금술사가 아군 하나에게 물약을 던져 기본 해제를 적용하고 공격 속도, 이동 속도, 체력 재생을 부여합니다. 해제 유형: 기본 해제",,
alchemist,연금술사,Alchemist,str,alchemist_goblins_greed,음흉한 자의 탐욕,Greevil's Greed,innate,-,"연금술사가 적에게서 또는 풍요 룬에서 골드를 획득할 때 추가 골드를 합성해 냅니다. 적을 처치할 때마다 기본 보너스 골드와 추가 보너스 골드를 획득합니다. 만약 연금술사가 적을 처치한 후 40초 내에 다시 골드를 주는 유닛을 처치하면 추가 보너스 골드를 더 획득합니다. 또한, 풍요 룬에서는 골드를 추가로 더 획득합니다.",연금술사가 아가님의 홀을 녹여 아군 대상 영웅에게 모든 아가님의 홀 강화를 제공합니다. 연금술사는 녹인 아가님의 홀마다 15의 보너스 공격력과 더불어 기본 및 최대 음흉한 자의 탐욕 추가 골드를 3 더 얻습니다.,
alchemist,연금술사,Alchemist,str,alchemist_chemical_rage,화학적 분노,Chemical Rage,ability,60,연금술사가 오거를 약물로 유도하여 격노하게 합니다. 기본 공격 쿨다운이 줄어들고 이동 속도와 체력 재생이 증가합니다. 해제 유형: 기본 해제,,
ancient_apparition,고대 영혼,Ancient Apparition,int,ancient_apparition_cold_feet,발 얼리기,Cold Feet,ability,15/13/11/9,"적에게 저주를 걸어 지속 피해를 줍니다. 적 유닛이 최초 위치에서 정해진 범위 밖으로 벗어나지 않으면, 4초 후에 기절하고 제자리에 얼어붙습니다.",,
ancient_apparition,고대 영혼,Ancient Apparition,int,ancient_apparition_ice_vortex,얼음 소용돌이,Ice Vortex,ability,10/8/6/4,"냉기 소용돌이를 생성하여 범위 내 적들을 둔화하고 피해를 주며, 둔화하며, 받는 마법 피해를 증가시킵니다.",,
ancient_apparition,고대 영혼,Ancient Apparition,int,ancient_apparition_chilling_touch,오한의 손길,Chilling Touch,ability,10/7.5/5/2.5,"고대 영혼의 공격을 강화하여 범위가 늘어나며, 폭발적인 마법 피해를 주고, 대상을 둔화합니다.",쿨다운이 없어집니다.,
ancient_apparition,고대 영혼,Ancient Apparition,int,ancient_apparition_bone_chill,뼛속 한기,Bone Chill,innate,-,"고대 영혼이 능력으로 적에게 마법 피해를 주면, 해당 적은 짧은 지속시간 동안 둔화합니다. 대상이 영웅이면, 힘도 감소합니다. 해당 효과는 여러 번 중첩되며, 각각 개별적인 지속시간으로 적용됩니다.",기본 힘 감소가 0.8 증가합니다.,
