node_id,tree,owner,tier,stat,glyph,prompt,asset_path,palette
sin_t1_atkspeed,sin,*,1,aspd_pct,speed_dial,Engraved speed dial with a long needle and four measured ticks; no weapon,src/assets/art/icons/mastery/nodes/sin_t1_atkspeed.png,
sin_t1_damage,sin,*,1,atk_pct,rising_facets,Three forged stone facets rising toward a sharp central peak; no sword,src/assets/art/icons/mastery/nodes/sin_t1_damage.png,
sin_t1_hp,sin,*,1,hp_pct,living_seed,Seed held by two protective leaves; no heart or healing cross,src/assets/art/icons/mastery/nodes/sin_t1_hp.png,
sin_wrath_t2_atkspeed,sin,wrath,2,aspd_pct,speed_dial,Engraved speed dial with a long needle and four measured ticks; no weapon,src/assets/art/icons/mastery/nodes/sin_wrath_t2_atkspeed.png,wrath
sin_wrath_t2_critchance,sin,wrath,2,crit_rate,focused_star,Four-point precision star centered within a tiny target,src/assets/art/icons/mastery/nodes/sin_wrath_t2_critchance.png,wrath
sin_wrath_t2_critdamage,sin,wrath,2,crit_damage,split_diamond,Split diamond with a deep central cut signifying a decisive critical strike,src/assets/art/icons/mastery/nodes/sin_wrath_t2_critdamage.png,wrath
sin_envy_t2_defignore,sin,envy,2,def_ignore,pierced_shield,Vertical piercing spike passing through a compact armor plate,src/assets/art/icons/mastery/nodes/sin_envy_t2_defignore.png,envy
sin_envy_t2_reflect,sin,envy,2,reflect_damage,mirrored_blades,Two mirrored short angled marks reflecting force back toward the center,src/assets/art/icons/mastery/nodes/sin_envy_t2_reflect.png,envy
sin_envy_t2_resignore,sin,envy,2,res_reduction,broken_ward,Protective ward with one deliberate fracture at its center,src/assets/art/icons/mastery/nodes/sin_envy_t2_resignore.png,envy
sin_greed_t2_gold,sin,greed,2,gold_find,coin_stack,Three overlapping engraved coins with a single square mint mark,src/assets/art/icons/mastery/nodes/sin_greed_t2_gold.png,greed
sin_greed_t2_itemfind,sin,greed,2,item_find,search_lens,Compact searching lens over a small found object,src/assets/art/icons/mastery/nodes/sin_greed_t2_itemfind.png,greed
