stat,scale,min,max,per_ilvl,slots,description_kr
atk_flat,growth,0.3,0.9,-,weapon,-
atk_pct,flat,3,8,-,weapon|gloves|ring|amulet,-
hp_flat,growth,8,20,-,armor|helmet|boots|amulet|ring,-
hp_pct,flat,2,5,-,armor|helmet|amulet,-
def_flat,band,2,6,0.3,armor|helmet|gloves|boots,-
res_all,flat,3,10,-,armor|helmet|gloves|boots|amulet,-
res_fire,flat,6,20,-,armor|helmet|gloves|boots|amulet|ring,-
res_cold,flat,6,20,-,armor|helmet|gloves|boots|amulet|ring,-
res_lightning,flat,6,20,-,armor|helmet|gloves|boots|amulet|ring,-
res_poison,flat,6,20,-,armor|helmet|gloves|boots|amulet|ring,-
crit_rate,flat,2,5,-,weapon|gloves|ring|amulet,-
crit_damage,flat,8,18,-,weapon|ring|amulet,-
aspd_pct,flat,2,5,-,weapon|gloves|boots,-
life_steal,flat,1,3,-,weapon|ring,-
def_ignore,flat,3,8,-,weapon|gloves,-
reflect_damage,flat,3,8,-,armor,-
damage_reduction,flat,2,5,-,armor|helmet,-
gold_find,flat,5,12,-,boots|gloves|ring|amulet,-
item_find,flat,4,10,-,boots|gloves|ring|amulet,-
