key,value,status,knob,description_kr
party_size_max,3,fixed,0,원정 파티 최대 인원 (2026-08-21 확정)
party_preset_count,0,fixed,0,편성 수 **기본값** — 건설 전 값이고 원정 건물 랭크의 더하기가 얹힌다(building_effect.csv presets — r1 · r3 · r6 에 +1 · 원정 r1 은 처음부터 지어져 편성 1 로 시작 · 다 지으면 3 — 2026-09-25 사용자 지시 · R156 · ~~처음부터 3 · 건물이 안 늘린다~~ 09-23) · 늘 이만큼 서 있고 만들고 지우는 동작이 없다 · 파티 · 진형 · 물약 칸 · 파티 전술 칸은 편성마다다 [신설 2026-09-21 · SCREEN_DESIGN §15 · R122]
roster_cap,5,fixed,0,영웅 보유 상한 **기본값** — 건설 전 값이고 선술집 랭크의 더하기가 얹힌다(building_effect.csv roster — r2 · r3 · r4 · r6 · r7 에 +1 · 다 지으면 10 · 3부대를 다 채우는 것은 r6 부터 — 2026-09-24 사용자 지시 「3부대 돌리는 게 좀 빡세도록」 · ~~r5 +2 = 다 지은 값 7~~ R137) · 원정 파티 + 휴식/파견 인원 (2026-08-21 확정)
concurrent_expedition_parties,3,fixed,0,동시에 낼 수 있는 **부대 수** — 부대 = 편성이라 편성 수를 넘지 않는다(`limitsOf` 가 자른다) · 화면의 관전 칸도 이 수만큼 선다(둘 이상이면 부대마다 · ADR-0316) · **이 키는 건물이 안 늘린다 — 편성이 원정 r1 · r3 · r6 으로 열리므로 부대도 1 → 2 → 3 으로 따라 열린다**(2026-09-25 사용자 지시 · R156 · ~~처음부터 3부대~~ 09-24 「일단 열고 나중에 닫아도」 · ~~1 (2026-08-21)~~)
stages_per_chapter,5,fixed,0,챕터당 스테이지 수 — 마지막 스테이지는 챕터보스 단독 1라운드 (2026-09-11 개정 4→5 · base_expedition_design §1-2 — 08-21 의 계승 stage_info 골격 4 를 대체). 라운드 수는 키가 아니라 stage_round.csv 세트의 행 수다 (rounds_per_stage 퇴역)
wave_monster_max,3,fixed,0,라운드당 몬스터 전역 상한 — round_budget.csv 의 어떤 편성도 이 값을 넘지 못한다 (2026-08-22 역할 정리)
advance_unlock_level,30,fixed,0,전직 해금 레벨 (GAME_DESIGN §9 · 전직 3갈래 skill_design §4)
active_slots,3,fixed,0,액티브 칸 수 — 고유 · 무기군 · 전직 각 하나 (GAME_DESIGN §9 08-26 「액티브 3」 · skill_design §2). 첫 칸은 생성 시 굴린 고유 스킬 · 나머지는 직업 액티브로 채운다(프로토타입 §9-0 개정 2026-09-01)
skill_cd_floor_mult,0.1,proposed,1,쿨타임 감소의 바닥 — 표기 쿨의 이 배수 밑으로 안 내려간다. 0 이면 스킬이 매 차례 나가 예산이 무너진다 (2026-09-01 코드 상수 CD_MIN_MULT 이관 · battle_design §6)
skill_decay_cap_pct,0.9,proposed,0,스케일링 슬롯이 민 감쇠(decay_pct)의 상한(%) — 연쇄 배율 감쇠·광역 약화·방어 감소가 민첩으로 100 에 닿으면 두 번째 대상부터 0 이 되거나 방어가 한 방에 사라진다. 슬롯이 더한 뒤에만 건다 — CSV 원값은 skill.js 의 0 이상 100 미만 검증 그대로다. crit_cap_pct 와 같은 안전 상한이라 손잡이(knob)가 아니다 (skill_design §13-5 · DEV_PLAN R72) (2026-09-10 R72 발행)
