building_id,rank,kind,target,value,status
expedition,1,unlock,expedition,-,proposed
expedition,2,unlock,repeat,-,proposed
expedition,3,unlock,stage_level,-,proposed
expedition,4,add,potionSlots,1,proposed
expedition,5,add,potionSlots,1,proposed
forge,1,unlock,upgrade_item,-,proposed
forge,1,unlock,make,-,proposed
forge,1,add,make_level,1,proposed
forge,1,add,potion_tier,1,proposed
forge,2,add,make_level,1,proposed
forge,2,add,potion_tier,1,proposed
forge,2,add,upgrade,3,proposed
forge,3,add,make_level,1,proposed
forge,3,unlock,craft,-,proposed
forge,4,add,make_level,1,proposed
forge,4,add,potion_tier,1,proposed
forge,4,add,make_kinds,1,proposed
forge,4,unlock,stigma_craft,-,proposed
forge,5,add,make_level,1,proposed
forge,5,add,upgrade,3,proposed
forge,5,unlock,skill_card,-,proposed
forge,6,add,make_level,1,proposed
forge,6,add,potion_tier,1,proposed
resource,1,unlock,dispatch,-,proposed
resource,1,add,resource_tier,1,proposed
resource,2,add,resource_tier,1,proposed
resource,3,add,resource_tier,1,proposed
resource,3,add,workers,1,proposed
resource,4,add,resource_tier,1,proposed
resource,5,add,resource_tier,1,proposed
resource,5,add,workers,1,proposed
shop,1,unlock,shop,-,proposed
shop,2,unlock,shop_special,-,proposed
shop,3,add,shopPerSlot,1,proposed
shop,4,add,shop_layers,1,proposed
explore,1,unlock,explore,-,proposed
explore,2,add,explore_regions,1,proposed
explore,3,unlock,raid,-,proposed
explore,4,unlock,escort,-,proposed
explore,5,add,explore_slots,1,proposed
storage,1,unlock,storage,-,proposed
storage,3,unlock,gear_set,-,proposed
storage,4,add,gear_sets,1,proposed
codex,1,unlock,codex,-,proposed
codex,2,unlock,monster_card,-,proposed
tavern,1,unlock,hire,-,proposed
tavern,2,unlock,search,-,proposed
tavern,3,unlock,commission_board,-,proposed
tavern,3,add,tavernCandidates,1,proposed
tavern,4,add,searchSlots,1,proposed
tavern,4,unlock,gamble,-,proposed
tavern,5,add,roster,2,proposed
tavern,5,add,commission_slots,1,proposed
tavern,6,unlock,high_tier_candidates,-,proposed
tavern,6,add,tavernCandidates,1,proposed
command,1,add,tactic_slots,1,proposed
command,2,add,tactic_slots,1,proposed
command,3,add,tactic_slots,1,proposed
command,4,add,tactic_slots,1,proposed
command,5,add,tactic_slots,1,proposed
command,6,add,tactic_slots,1,proposed
command,7,add,tactic_slots,1,proposed
training,1,unlock,training,-,proposed
training,2,add,training_slots,1,proposed
training,3,unlock,advance,-,proposed
training,4,unlock,skill_depth,-,proposed
