building_id,rank,require,cost,status
expedition,1,-,-,proposed
expedition,2,stage:105,gold:1000,proposed
expedition,3,-,gold:1000,proposed
expedition,4,stage:205,gold:3000,proposed
expedition,5,stage:305,gold:3000,proposed
expedition,6,-,gold:3000,proposed
expedition,7,stage:405,gold:12000,proposed
forge,1,-,gold:100,proposed
forge,2,stage:105,gold:3000|dust:30,proposed
forge,3,stage:205,gold:6000|dust:60,proposed
forge,4,stage:305,gold:9000|dust:90,proposed
forge,5,stage:405,gold:12000|dust:120,proposed
forge,6,stage:505,gold:15000|dust:150,proposed
resource,1,stage:101,gold:1000|dust:10,proposed
resource,2,stage:105,gold:3000|dust:30,proposed
resource,3,stage:205,gold:6000|dust:60,proposed
resource,4,stage:305,gold:9000|dust:90,proposed
resource,5,stage:405,gold:12000|dust:120,proposed
shop,1,stage:103,gold:1500|dust:15,proposed
shop,2,stage:201,gold:2000|dust:20,proposed
shop,3,stage:301,gold:3000|dust:30,proposed
shop,4,stage:403,gold:6000|dust:60,proposed
explore,1,stage:203,gold:3000|dust:30,proposed
explore,2,stage:301,gold:3000|dust:30,proposed
explore,3,stage:303,gold:4500|dust:45,proposed
explore,4,stage:401,gold:4000|dust:40,proposed
explore,5,stage:501,gold:5000|dust:50,proposed
storage,1,-,-,proposed
storage,2,stage:201,gold:2000|dust:20,proposed
storage,3,stage:303,gold:4500|dust:45,proposed
storage,4,stage:403,gold:6000|dust:60,proposed
storage,5,stage:501,gold:5000|dust:50,proposed
codex,1,-,-,proposed
codex,2,-,-,proposed
tavern,1,-,gold:150,proposed
tavern,2,total:15,gold:1500,proposed
tavern,3,total:30,gold:3000,proposed
tavern,4,total:55,gold:5500,proposed
tavern,5,total:90,gold:9000,proposed
tavern,6,total:140,gold:14000,proposed
tavern,7,total:210,gold:21000,proposed
command,1,-,-,proposed
command,2,total:8,gold:800,proposed
command,3,total:15,gold:1500,proposed
command,4,total:30,gold:3000,proposed
command,5,total:40,gold:4000,proposed
command,6,total:55,gold:5500,proposed
command,7,total:90,gold:9000,proposed
training,1,-,gold:1000,proposed
training,2,-,gold:3000,proposed
training,3,hero:advance_unlock_level,gold:5000,proposed
training,4,-,gold:10000,proposed
