stat_id,stat_kr,stat_en,category,attr,fmt,impl,sheet_order,description_kr
atk_physical,물리 공격력,Physical Attack,offense,str,n,1,1,physical 공격의 피해원 — 힘 계수 x 무기 공격력 x (1 + 상시 피해 % 합). **무기가 밑수다** — 다른 슬롯의 고정 공격력을 이 괄호에 더하지 않는다. 상대 defense 가 곱셈 감쇠 (battle_design §9-1·9-3)
atk_magic,마법 공격력,Magic Attack,offense,int,n,1,2,원소 공격의 피해원 — 구조는 물리와 동일(지능 계수 x 마법 무기 공격력 x (1 + 상시 피해 %)). 원소는 마법 무기 개체가 든다(스킬 태그 우선). 상대의 그 원소 저항이 % 로 감소시킨다 (battle_design §9-5). 회복 스킬의 회복량도 이 값에 비례한다 (별도 회복량 스탯 없음)
crit_rate,치명타 확률,Crit Chance,offense,-,pct,1,4,치명타 발생 확률 — 상한 [balance.csv:crit_cap_pct]. 기본 능력치 보정 없음. 장비·스킬 전담
crit_damage,치명타 피해,Crit Damage,offense,-,pct,1,5,치명타 시 피해 배율 — 직격에만 붙는다 (반사·도트 제외 — battle_design §9-6)
def_ignore,방어 무시,Defense Ignore,offense,-,pct,1,6,**물리 전용**. 감쇠 곡선에 넣기 전 상대 물리 방어값을 이 비율만큼 깎는다 — 감쇠율의 %가 아니다. 원소 쪽 대응은 res_reduction (battle_design §9-3)
res_reduction,저항 감소,Resist Reduction,offense,-,pct,1,7,**원소 전용**. 상대 원소 저항을 %p 로 깎는다 — 관통이라는 별도 규칙이 아니라 저항값에 음수를 더하는 것이다. 저항은 하한이 없어 음수가 되면 피해가 증폭된다 (battle_design §9-5)
vs_type_damage,타입 특효,Type Damage,offense,-,pct,0,8,Normal/Demon/Undead 대상 추가 피해 — **조건부 괄호**에 덧셈으로 들어간다. 조건부 괄호는 상시 괄호와 곱해진다. 무기 슬롯 전속 (battle_design §9-2)
vs_size_damage,사이즈 특효,Size Damage,offense,-,pct,0,9,소/중/대(size_type) 대상 추가 피해 — 조건부 괄호에 덧셈. ⚠ **존치 미결** — 종족은 스테이지 단위로 예측되지만 사이즈는 대상마다 갈려 인과를 읽기 어렵다 (battle_design §9-9)
vs_status_damage,상태이상 대상 피해,Damage vs Ailing,offense,-,pct,0,10,상태이상에 걸린 대상에게 추가 피해 — 조건부 괄호에 덧셈. **상태이상별로 쪼개지 않는다**(불리언 하나). 부여 수단이 생기기 전까지 접사 풀에 넣지 않는다 (battle_design §9-2)
hp_max,최대 HP,Max HP,defense,-,n,1,3,전투불능(부상) 판정 기준. 레벨 1 값 [balance.csv:hero_hp_base] 전 영웅 공통 고정 — 기본 능력치와 무관. 레벨 성장은 [balance.csv:power_growth_per_level] 곡선을 탄다
