base_id,slot,group,tier_min_ilvl,name_kr,name_en
armor_cloth,armor,,1,클로스 아머,Cloth Armor
armor_robe_1,armor,robe,10,퀼티드 아머,Quilted Armor
armor_robe_2,armor,robe,30,고스트 아머,Ghost Armor
armor_robe_3,armor,robe,50,더스크 슈라우드,Dusk Shroud
armor_light_1,armor,light,10,라이트 플레이트,Light Plate
armor_light_2,armor,light,30,메이지 플레이트,Mage Plate
armor_light_3,armor,light,50,아콘 플레이트,Archon Plate
armor_heavy_1,armor,heavy,10,에인션트 아머,Ancient Armor
armor_heavy_2,armor,heavy,30,오네이트 플레이트,Ornate Plate
armor_heavy_3,armor,heavy,50,세이크리드 아머,Sacred Armor
helmet_cloth,helmet,,1,클로스 후드,Cloth Hood
helmet_tiara_1,helmet,tiara,10,서클릿,Circlet
helmet_tiara_2,helmet,tiara,30,티아라,Tiara
helmet_tiara_3,helmet,tiara,50,다이아뎀,Diadem
helmet_leather_1,helmet,leather,10,캡,Cap
helmet_leather_2,helmet,leather,30,워 햇,War Hat
helmet_leather_3,helmet,leather,50,샤코,Shako
helmet_plate_1,helmet,plate,10,그레이트 헬름,Great Helm
helmet_plate_2,helmet,plate,30,윙드 헬름,Winged Helm
helmet_plate_3,helmet,plate,50,스파이어드 헬름,Spired Helm
gloves_cloth,gloves,,1,클로스 글러브,Cloth Gloves
gloves_leather_1,gloves,leather,10,헤비 글러브,Heavy Gloves
gloves_leather_2,gloves,leather,30,샤크스킨 글러브,Sharkskin Gloves
gloves_leather_3,gloves,leather,50,뱀파이어본 글러브,Vampirebone Gloves
gloves_gauntlet_1,gloves,gauntlet,10,건틀릿,Gauntlets
gloves_gauntlet_2,gloves,gauntlet,30,워 건틀릿,War Gauntlets
gloves_gauntlet_3,gloves,gauntlet,50,오우거 건틀릿,Ogre Gauntlets
boots_start,boots,,1,부츠,Boots
boots_leather_1,boots,leather,10,헤비 부츠,Heavy Boots
boots_leather_2,boots,leather,30,샤크스킨 부츠,Sharkskin Boots
boots_leather_3,boots,leather,50,스캐럽셸 부츠,Scarabshell Boots
boots_greaves_1,boots,greaves,10,그리브스,Greaves
boots_greaves_2,boots,greaves,30,워 부츠,War Boots
boots_greaves_3,boots,greaves,50,미르미돈 그리브스,Myrmidon Greaves
amulet_1,amulet,,1,탈리스만,Talisman
amulet_2,amulet,,1,골드 네클리스,Gold Necklace
amulet_3,amulet,,1,아이 펜던트,Eye Pendant
amulet_4,amulet,,1,펜듈럼 애뮬릿,Pendulum Amulet
ring_1,ring,,1,실버 링,Silver Ring
ring_2,ring,,1,시그넷,Signet
ring_3,ring,,1,글러턴 링,Glutton Ring
ring_4,ring,,1,아워글래스 링,Hourglass Ring
