node_id,tree_kind,owner_id,tier,stat,name_kr,name_en,value_key,max_rank_key,unlock_key,requires,description_kr
sin_t1_atkspeed,sin,*,1,aspd_pct,공격속도 증가,Attack Speed Increase,mastery_t1_atkspeed_pct,mastery_t1_max_rank,-,-,T1 공통 — 죄종 무관 7종 동일. 행동 주기 감소 % (skill_design §3-1)
sin_t1_damage,sin,*,1,atk_pct,데미지 증가,Damage Increase,mastery_t1_damage_pct,mastery_t1_max_rank,-,-,T1 공통 — 상시 피해 %. atk_magic 도 타서 딜러·힐러 공통 (skill_design §3-1)
sin_t1_hp,sin,*,1,hp_pct,체력 증가,Health Increase,mastery_t1_hp_pct,mastery_t1_max_rank,-,-,T1 공통 — 최대 HP % (skill_design §3-1)
sin_wrath_t2_atkspeed,sin,wrath,2,aspd_pct,공격속도 증가,Attack Speed Increase,mastery_wrath_t2_atkspeed_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,분노 T2-1 — 공격속도. 공통 T1 과 별개 스택 (skill_design §3-2)
sin_wrath_t2_critchance,sin,wrath,2,crit_rate,치명타 확률 증가,Critical Chance Increase,mastery_wrath_t2_critchance_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,분노 T2-2 — 치명타 확률 (skill_design §3-2)
sin_wrath_t2_critdamage,sin,wrath,2,crit_damage,치명타 피해 증가,Critical Damage Increase,mastery_wrath_t2_critdamage_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,분노 T2-3 — 치명타 피해. ⚠ 치명 배수 금지 원칙의 유일한 예외 · 09-22 값 하향 (skill_design §3)
sin_envy_t2_defignore,sin,envy,2,def_ignore,방어 무시,Defense Ignore,mastery_envy_t2_defignore_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,시기 T2-1 — 방어 무시 (skill_design §3-2)
sin_envy_t2_reflect,sin,envy,2,reflect_damage,반사 피해,Reflect Damage,mastery_envy_t2_reflect_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,시기 T2-2 — 반사 피해 (skill_design §3-2 · 09-22)
sin_envy_t2_resignore,sin,envy,2,res_reduction,모든 원소 저항 무시 +%,Ignore All Elemental Resistances,mastery_envy_t2_resignore_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,시기 T2-3 — 모든 원소 저항 무시. 그 타격의 원소 저항에 걸린다 (skill_design §3-2 · 09-22)
sin_greed_t2_gold,sin,greed,2,gold_find,골드 획득,Gold Find,mastery_greed_t2_gold_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,탐욕 T2-1 — 골드 획득 (skill_design §3-2)
sin_greed_t2_itemfind,sin,greed,2,item_find,드랍률,Item Find,mastery_greed_t2_itemfind_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,탐욕 T2-2 — 드랍률 (skill_design §3-2)
sin_greed_t2_magicfind,sin,greed,2,magic_find,매직아이템 획득확률,Magic Item Find Chance,mastery_greed_t2_magicfind_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,탐욕 T2-3 — 매직아이템 획득확률. 장비 탐욕 칸과 같은 채널 (skill_design §3-2 · 09-22)
sin_sloth_t2_hp,sin,sloth,2,hp_pct,최대 HP %,Maximum HP %,mastery_sloth_t2_hp_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,나태 T2-1 — 최대 HP %. 죄종 T1 체력과 같은 능력치 — 값으로 가른다 (skill_design §3-2 · 09-22)
sin_sloth_t2_dr,sin,sloth,2,damage_reduction,피해 감소,Damage Reduction,mastery_sloth_t2_dr_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,나태 T2-2 — 피해 감소. 원천별 곱의 한 원천이다 (battle_design §9-3)
sin_sloth_t2_cdr,sin,sloth,2,cooldown_reduction,쿨타임 감소,Cooldown Reduction,mastery_sloth_t2_cdr_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,나태 T2-3 — 액티브 쿨타임 감소 (skill_design §3-2)
sin_gluttony_t2_hpregen,sin,gluttony,2,hp_regen,HP 재생,HP Regeneration,mastery_gluttony_t2_hpregen,mastery_t1_max_rank,mastery_t2_unlock_level,-,폭식 T2-1 — HP 재생 고정치 (skill_design §3-2)
sin_gluttony_t2_crush,sin,gluttony,2,crushing_blow_pct,강타,Crushing Blow,mastery_gluttony_t2_crush_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,폭식 T2-2 — 강타. 무기 폭식 칸 · 마법사 T1-3 과 같은 채널 (skill_design §3-2 · 09-22)
sin_gluttony_t2_resall,sin,gluttony,2,res_all,모든 원소 저항,All Elemental Resistances,mastery_gluttony_t2_resall_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,폭식 T2-3 — 원소 저항 4종 동시. ⚠ 상한형 (skill_design §3-2 · 09-22)
sin_lust_t2_lifesteal,sin,lust,2,life_steal,흡혈,Life Steal,mastery_lust_t2_lifesteal_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,색욕 T2-1 — 흡혈 (skill_design §3-2)
sin_lust_t2_critchance,sin,lust,2,crit_rate,치명타 확률 증가,Critical Chance Increase,mastery_lust_t2_critchance_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,색욕 T2-2 — 치명타 확률 (skill_design §3-2)
sin_lust_t2_hprecovery,sin,lust,2,hp_recovery_pct,체력 회복 +%,HP Recovery,mastery_lust_t2_hprecovery_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,색욕 T2-3 — 체력 회복 +%. 목걸이 색욕 칸과 같은 채널 (skill_design §3-2 · 09-22)
sin_pride_t2_dr,sin,pride,2,damage_reduction,피해 감소,Damage Reduction,mastery_pride_t2_dr_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,오만 T2-1 — 피해 감소 (skill_design §3-2)
sin_pride_t2_resmax,sin,pride,2,res_max_bonus,최대 원소저항력 증가,Maximum Elemental Resistance Increase,mastery_pride_t2_resmax_pct,mastery_t1_max_rank,mastery_t2_unlock_level,-,오만 T2-2 — 최대 원소저항 증가. 저항 상한을 뚫는 유일한 축 (battle_design §9-5)
sin_pride_t2_fhr,sin,pride,2,fhr,타격 회복,Hit Recovery,mastery_pride_t2_fhr,mastery_t1_max_rank,mastery_t2_unlock_level,-,오만 T2-3 — 타격 회복(물리 경직 시간 −). 갑옷 분노 칸과 같은 채널 (skill_design §3-2 · 09-22)
cls_warrior_t1_hp,class,warrior,1,hp_pct,체력 증가,Health Increase,mastery_warrior_t1_hp_pct,mastery_t1_max_rank,-,-,전사 T1-1 — 최대 HP %. 죄종 T1 체력과 같은 채널 — 겹치는 것이 의도다 (skill_design §3-4)
cls_warrior_t1_resall,class,warrior,1,res_all,모든 저항력,All Resistances,mastery_warrior_t1_resall_pct,mastery_t1_max_rank,-,-,전사 T1-2 — 원소 저항 4종 동시. 폭식 T2-3 과 공유 (skill_design §3-4)
cls_warrior_t1_atk,class,warrior,1,atk_pct,데미지 증가,Damage Increase,mastery_warrior_t1_atk_pct,mastery_t1_max_rank,-,-,전사 T1-3 — 상시 피해 %. 죄종 T1 데미지와 같은 채널 (skill_design §3-4)
cls_knight_t1_hp,class,knight,1,hp_pct,체력 증가,Health Increase,mastery_knight_t1_hp_pct,mastery_t1_max_rank,-,-,기사 T1-1 — 최대 HP % (skill_design §3-4)
cls_knight_t1_def,class,knight,1,def_flat,물리 방어,Physical Defense,mastery_knight_t1_def_flat,mastery_t1_max_rank,-,-,기사 T1-2 — 물리 방어 (skill_design §3-4)
cls_knight_t1_dr,class,knight,1,damage_reduction,피해 감소,Damage Reduction,mastery_knight_t1_dr_pct,mastery_t1_max_rank,-,-,기사 T1-3 — 피해 감소. 원천별 곱의 한 원천이다 (battle_design §9-3)
cls_mage_t1_atkspeed,class,mage,1,aspd_pct,공격 속도,Attack Speed,mastery_mage_t1_atkspeed_pct,mastery_t1_max_rank,-,-,마법사 T1-1 — 행동 주기 감소 % (skill_design §3-4 · 09-22)
cls_mage_t1_cdr,class,mage,1,cooldown_reduction,쿨타임 감소,Cooldown Reduction,mastery_mage_t1_cdr_pct,mastery_t1_max_rank,-,-,마법사 T1-2 — 액티브 쿨타임 감소. ⚠ 나태 T2-3 과 2중 스택 (skill_design §3-4 · 09-22)
cls_mage_t1_crush,class,mage,1,crushing_blow_pct,강타,Crushing Blow,mastery_mage_t1_crush_pct,mastery_t1_max_rank,-,-,마법사 T1-3 — 강타. 마법사의 고유 칸 · 폭식 T2-2 와 같은 채널 (skill_design §3-4 · 09-22)
cls_priest_t1_atkspeed,class,priest,1,aspd_pct,공격 속도,Attack Speed,mastery_priest_t1_atkspeed_pct,mastery_t1_max_rank,-,-,사제 T1-1 — 행동 주기 감소 % (skill_design §3-4 · 09-22)
