monster_idx,chapter,stage_num,monster_name_kr,monster_name_en,face,face_elite,monster_type,monster_base,attack_type,spawn_grade,role,cls,str,agi,int,vit,luck,ldr,cha,innate_skill,weapon_group,wear_slots,size_type,defense,res_fire,res_cold,res_lightning,res_poison,exp_coef,story_kr,story_en,description_kr
1101,1,1,고블린 척후병,Goblin Scout,1,0,Demon,Goblin,physical,normal,skirmish,archer,3,14,3,4,5,4,5,arc_snipe,bow,weapon|armor|boots,1,34,0.15,0.15,0.15,0.15,1,"해가 지기 전, 척후병들은 진영 바깥 숲으로 흩어졌다. 그들은 나무 뒤에 몸을 낮추고 활시위를 당긴 채 오래 기다렸다. 길을 잘못 든 병사가 나타나면 화살 서너 대가 한꺼번에 날아갔고, 척후병들은 그가 다시 일어나지 않는 것을 확인한 뒤에야 숲을 빠져나왔다.","Before sunset, the scouts scattered into the woods beyond the camp. They crouched behind the trees with their bows drawn and waited a long time. When a soldier strayed onto the wrong path, three or four arrows flew at once, and only after making sure he did not get up again did the scouts slip out of the woods.",파멸의 진영 선봉 잡병
1102,1,1,고블린 전사,Goblin Warrior,1,0,Demon,Goblin,physical,normal,line,warrior,7,12,3,5,3,4,5,war_bash,mace,weapon|armor|helmet,1,47,0.15,0.15,0.15,0.15,1,"전사들은 {m:1150}의 도끼가 땅을 긁는 소리를 들으며 그 뒤를 따랐다. 앞에서 비명이 들리면 그쪽으로 달려가, 누가 쓰러져 있든 가리지 않고 칼을 내리쳤다. 싸움이 끝난 뒤 쓰러진 자들 사이에 동족이 섞여 있어도, 그들은 아무렇지 않게 다음 비명을 찾아 걸어갔다.","The warriors followed behind {m:1150}, listening to his axe scrape the ground. When a scream rose ahead they ran toward it and brought their blades down on whoever lay there. Even when their own kin were among the fallen afterward, they simply walked on in search of the next scream.",무기를 든 정규 고블린 병사
1103,1,1,고블린 주술사,Goblin Shaman,1,1,Demon,Goblin,physical,normal,caster,priest,3,11,8,5,3,4,5,mon_summon_goblin,crucifix,weapon|armor|amulet,1,20,0.15,0.15,0.15,0.15,1,"주술사는 짐승 두개골을 머리에 뒤집어쓰고 시체 더미 사이를 천천히 걸었다. 쓰러진 고블린 앞에서 걸음을 멈추면 두개골 안쪽에서 낮은 웅얼거림이 새어 나왔다. 잠시 뒤, 목이 반쯤 꺾인 고블린이 칼을 주워 들고 다시 일어섰다.","The shaman walked slowly among the heaps of bodies, a beast's skull pulled over its head. Whenever it stopped before a fallen goblin, a low muttering leaked from inside the skull. A moment later, a goblin with its neck half broken picked up its blade and stood again.",짐승 두개골을 뒤집어쓴 고블린 주술사
1150,1,1,아바돈,Abaddon,1,0,Demon,Orc,physical,stage_boss,boss,warrior,10,7,3,10,3,15,5,war_doubleswing,axe,weapon|helmet|armor|gloves|boots|amulet|ring,3,63,0.15,0.15,0.15,0.15,1,"{m:1900|이/가} 하늘에서 떨어지던 밤, {m:1150|은/는} 주인의 곁에서 함께 떨어졌다. 불타는 들판에서 몸을 일으킨 {m:1900|이/가} 처음 한 말은 짧았다. “앞에 있는 것은 모두 부숴라.” {m:1150|은/는} 도끼를 쥐고 걸어 나갔다.\n그는 마을을 부순 뒤 성벽을 부쉈고, 성벽 너머에 서 있던 인간의 군대까지 부쉈다. 해가 수백 번 뜨고 지는 동안 그는 한 번도 뒤를 돌아보지 않았다. 어느 날 {m:1900|이/가} 멈추라고 외쳤을 때, {m:1150|은/는} 그 목소리가 누구의 것인지 알아듣지 못했다.\n지금도 그는 커다란 도끼를 땅에 끌며 전장의 맨 앞을 걷는다. 화살이 등에 꽂히고 무릎이 꺾이면, 그는 팔꿈치로 땅을 짚고 앞으로 기어간다.","The night {m:1900} fell from the sky, {m:1150} fell beside his master. Rising from the burning field, {m:1900} spoke only a few words: “Destroy all before you.” {m:1150} took up his axe and walked out.\nHe destroyed the village, then the walls, then the human army that stood beyond them. The sun rose and set hundreds of times, and he never once looked back. One day {m:1900} shouted for him to stop, and {m:1150} did not recognize whose voice it was.\nHe still walks at the front of the battlefield, dragging his great axe through the dirt. When arrows sink into his back and his knees give out, he props himself on his elbows and crawls forward.",파멸의 군주 — 무저갱의 왕
1201,1,2,인간 보병,Human Footman,1,0,Normal,Human,physical,normal,line,warrior,8,10,3,6,3,4,5,war_quake,mace,weapon|armor|helmet,1,49,0.16,0.16,0.16,0.16,1,보병들은 방패를 맞대고 한 줄로 섰다. 맞은편에서 달려오는 자들이 어느 나라의 깃발을 들었는지는 아무도 확인하지 않았다. 앞줄의 병사가 쓰러지면 뒷줄의 병사가 말없이 그 자리를 메웠다.,"The footmen locked shields and stood in a single line. No one checked whose flag the men charging from the other side carried. When a soldier in the front rank fell, the one behind him stepped into his place without a word.",검과 방패의 정규 병사
1202,1,2,인간 궁수,Human Archer,1,0,Normal,Human,physical,normal,ranged,archer,3,12,3,4,8,4,5,arc_rapid,bow,weapon|armor|gloves,1,35,0.16,0.16,0.16,0.16,1,"궁수들은 대열 뒤편 언덕에 자리를 잡고 화살을 쏘았다. 화살은 연기 너머로 사라졌고, 그 끝에서 누가 쓰러지는지는 보이지 않았다. 화살통이 비면 그들은 죽은 병사들의 몸에서 화살을 뽑아 다시 시위에 걸었다.","The archers took position on the hill behind the lines and loosed their arrows. The arrows vanished into the smoke, and no one could see who fell at the end of them. When their quivers ran empty, they pulled arrows from the bodies of the dead and nocked them again.",활을 든 원거리 병사
1203,1,2,인간 기사,Human Knight,1,0,Normal,Human,physical,normal,heavy,knight,14,5,3,16,3,4,5,kni_charge,sword2h,weapon|armor|helmet|gloves,1,74,0.16,0.16,0.16,0.16,1,"기사는 찌그러진 판금 갑옷을 입고 말 위에 앉아 있었다. 창끝에 매달려 있던 {m:1250}의 깃발은 오래전에 불타 없어졌다. 전장 저편에서 흙먼지가 일자, 기사는 빈 창대를 겨누고 그쪽으로 말을 몰았다.","The knight sat on his horse in dented plate armor. {m:1250}'s banner, which once hung from his lance, had burned away long ago. When dust rose on the far side of the field, the knight leveled the bare shaft and spurred his horse toward it.",판금 갑옷의 중장 기사
1250,1,2,레기온,Legion,1,0,Normal,Human,physical,stage_boss,boss,warrior,10,10,3,10,3,15,5,war_leap,axe,weapon|helmet|armor|gloves|boots|amulet|ring,2,65,0.16,0.16,0.16,0.16,1,"전쟁에서 밀리던 밤, 장군은 막사에 홀로 앉아 지도를 내려다보고 있었다. 촛불이 흔들리더니 등 뒤에서 낮은 목소리가 들렸다. “내 편에 서라. 네 병사들은 내가 지켜 주마.” 돌아보지 않아도 그것이 {m:1900}의 목소리라는 것을 장군은 알았다. 그는 천천히 고개를 끄덕였다.\n다음 날 아침, 장군의 병사들은 한 사람도 빠짐없이 전장에 쓰러져 있었다. 장군은 시체 사이를 걸으며 이름을 하나씩 불렀지만 대답하는 자는 없었다. 그날 밤, 그는 자기 입에서 자기 것이 아닌 목소리가 새어 나오는 것을 들었다.\n이제 장군이 입을 열면 죽은 병사들이 한꺼번에 떠든다. 그들은 천 개의 목소리로 장군의 이름을 부르며, 왜 자신들을 지키지 못했느냐고 묻는다.","On a night when the war was going badly, the general sat alone in his tent, staring down at the map. The candle flickered, and a low voice spoke behind him. “Stand with me, and I will keep your soldiers safe.” He did not need to turn around to know it was {m:1900}. Slowly, he nodded.\nThe next morning, every one of his soldiers lay dead on the field. The general walked among the bodies calling their names one by one, but no one answered. That night he heard a voice that was not his own slip out of his mouth.\nNow when the general opens his mouth, the dead soldiers all speak at once. In a thousand voices they call his name and ask why he could not protect them.",천의 목소리 — 천 개의 분노가 깃든 자
1301,1,3,스켈레톤 전사,Skeleton Warrior,1,1,Undead,Skeleton,physical,normal,line,warrior,9,10,3,9,3,4,5,mon_selfdestruct,mace,weapon|armor|helmet,1,50,0.18,0.18,0.18,0.18,1,"흙이 들썩이더니 녹슨 칼을 쥔 뼈 손이 무덤 위로 올라왔다. 해골 병사는 몸을 일으키자마자 가장 가까이 있는 산 자에게 걸어갔다. 칼이 부러지고 팔뼈가 떨어져 나가자, 그는 상대의 품으로 뛰어들어 산산이 부서졌고 흩어진 뼛조각이 주위의 병사들에게 박혔다.","The earth heaved, and a bony hand gripping a rusted sword rose from the grave. The moment the skeleton stood, it walked toward the nearest living thing. When its sword snapped and its arm fell away, it threw itself into its foe's arms and shattered, and the flying shards of bone lodged in the soldiers around it.",묘지에서 일어난 해골 병사
1302,1,3,스켈레톤 기사,Skeleton Knight,1,1,Undead,Skeleton,physical,normal,heavy,knight,11,11,3,13,3,4,5,kni_rush,sword2h,weapon|armor|helmet|gloves,2,76,0.18,0.18,0.18,0.18,1,"사슬 두건을 쓴 해골 기사가 무덤에서 일어났을 때, 그의 손에는 함께 묻혔던 검이 그대로 쥐여 있었다. 기사는 묘지 입구에 선 병사들을 보자 검을 앞으로 내민 채 달려들었다. 병사들이 창으로 그를 밀어냈지만, 기사는 창에 꿰인 채로도 한 걸음씩 다가왔다.","When the skeleton knight in its mail coif rose from the grave, the sword it had been buried with was still in its grip. Seeing the soldiers at the graveyard gate, it charged with the blade thrust forward. They drove it back with spears, but even skewered, the knight kept coming, one step at a time.",사슬 두건을 쓴 해골 기사
