meeting_id,sin,rumor_kr,rumor_en,prompt_kr,prompt_en
m_wrath_1,wrath,요즘 그 근방엔 성난 자들이 많다더군,They say tempers run hot out that way,누가 날 막을 수 있겠나?,Who here could stop me?
m_wrath_2,wrath,그 길목에서 주먹부터 나간다는 자를 봤다더군,Someone out there swings before he speaks,싸움이 무섭지 않나?,Does a fight not frighten you?
m_envy_1,envy,남의 것을 오래 쳐다보는 자가 있다더군,Someone out there stares too long at what is not his,너희보다 나은 자들이 있나?,Is there anyone better than you?
m_envy_2,envy,남의 공을 셈하고 다니는 자가 있다더군,Someone out there keeps count of other men's credit,내 몫은 제대로 쳐줄 텐가?,Will my share be counted fairly?
m_greed_1,greed,값을 두 번 묻는 자가 있다더군,Someone out there asks the price twice,보수는 얼마나 쳐주시오?,What does the work pay?
m_greed_2,greed,빈손으로는 안 움직인다는 자가 있다더군,Someone out there will not move empty-handed,선불인가 후불인가?,Paid before or after?
m_sloth_1,sloth,그늘에서 안 나오는 자가 있다더군,Someone out there will not leave the shade,많이 걸어야 하나?,Is there much walking?
m_sloth_2,sloth,오늘 할 일을 내일로 미룬다는 자가 있다더군,Someone out there leaves today's work for tomorrow,언제 떠나야 하나?,When would we set out?
m_gluttony_1,gluttony,하루 다섯 끼를 먹는 자가 있다더군,Someone out there eats five meals a day,밥은 나오나?,Are the meals included?
m_gluttony_2,gluttony,시장 좌판을 통째로 비웠다는 자가 있다더군,Someone out there cleared a market stall to the boards,너희 곳간은 넉넉한가?,Is your larder deep?
m_lust_1,lust,광장 악사 곁을 안 떠나는 자가 있다더군,Someone out there never leaves the square musician's side,그곳에 재미난 것이 있나?,Is there anything worth staying for?
m_lust_2,lust,붙잡아 두려는 사람이 셋은 된다는 자가 있다더군,Three people out there are trying to keep the same one,나를 붙잡아 둘 수 있겠나?,Could you keep me?
m_pride_1,pride,제 이름을 먼저 대는 자가 있다더군,Someone out there gives his name before anything else,내 이름은 들어 봤소?,Have you heard my name?
m_pride_2,pride,아무 밑에도 안 선다는 자가 있다더군,Someone out there stands under no one,내가 누구 밑에 서야 하나?,Under whom would I stand?
