word_id,sin,tier,tier_min_ilvl,name_kr,name_en,description_kr
wrath_1,wrath,1,1,분노,Wrathful,첫 단 = 원래 죄종 이름 (item_design §1 「이름」 · 2026-09-19) · ⚠ tier_min_ilvl 은 아직 안 읽는다 — 밸런싱 전까지 단은 넷 중 균등
wrath_2,wrath,2,10,격노,Raging,-
wrath_3,wrath,3,30,광란,Rampaging,-
wrath_4,wrath,4,50,학살,Slaughtering,-
envy_1,envy,1,1,시기,Envious,-
envy_2,envy,2,10,질투,Jealous,-
envy_3,envy,3,30,앙심,Spiteful,-
envy_4,envy,4,50,배신,Treacherous,-
greed_1,greed,1,1,탐욕,Greedy,-
greed_2,greed,2,10,착취,Exploitative,-
greed_3,greed,3,30,갈취,Extorting,-
greed_4,greed,4,50,강탈,Rapacious,-
sloth_1,sloth,1,1,나태,Slothful,-
sloth_2,sloth,2,10,권태,Weary,-
sloth_3,sloth,3,30,무기력,Lethargic,-
sloth_4,sloth,4,50,망각,Forgotten,4장 「망각의 동토」와 잇는다
gluttony_1,gluttony,1,1,폭식,Gluttonous,-
gluttony_2,gluttony,2,10,허기,Hungering,-
gluttony_3,gluttony,3,30,포식,Predatory,-
gluttony_4,gluttony,4,50,심연,Abyssal,5장 「심연의 동굴」과 잇는다
lust_1,lust,1,1,색욕,Lustful,-
lust_2,lust,2,10,집착,Obsessive,-
lust_3,lust,3,30,방탕,Debauched,-
lust_4,lust,4,50,타락,Corrupted,6장 「타락한 궁전」과 잇는다
pride_1,pride,1,1,오만,Prideful,-
pride_2,pride,2,10,경멸,Contemptuous,-
pride_3,pride,3,30,지배,Dominating,-
pride_4,pride,4,50,찬탈,Usurping,7장 「신의 폐허」 — 신의 왕좌를 노린다
