skill_id,seq,effect,hits,mult_pct,decay_pct,proc_chance_pct,proc_mult_pct,element,status,scale1_field,scale1_attr,scale1_coef,scale2_field,scale2_attr,scale2_coef,scale3_field,scale3_attr,scale3_coef,note
war_bash,1,hit,1,3,0,0,0,-,-,mult_pct,str,0,-,-,0,-,-,0,-
war_doubleswing,1,hit,2,1.1,0,0,0,-,-,mult_pct,str,0,-,-,0,-,-,0,-
war_quake,1,hit,1,1.2,0,0,0,-,-,mult_pct,str,0,-,-,0,-,-,0,-
war_leap,1,hit,1,1.1,0,0,0,-,-,mult_pct,str,0,-,-,0,-,-,0,-
war_taunt,1,apply,0,0,0,0,0,-,war_taunt,duration_sec,cha,0,-,-,0,-,-,0,-
war_shout,1,apply,0,0,0,0,0,-,war_shout,effect_value,ldr,0,duration_sec,vit,0,-,-,0,-
war_battleorders,1,apply,0,0,0,0,0,-,war_battleorders,effect_value,ldr,0,duration_sec,vit,0,-,-,0,-
kni_smite,1,hit,1,3,0,0,0,-,-,mult_pct,str,0,-,-,0,-,-,0,-
kni_charge,1,hit,1,2.2,0,0.1,2,-,-,mult_pct,str,0,proc_chance_pct,luck,0,-,-,0,-
kni_rush,1,hit,4,0.6,0,0,0,-,-,mult_pct,str,0,hits,agi,0,-,-,0,-
kni_duel,1,apply,0,0,0,0,0,-,kni_duel,effect_value,vit,0,-,-,0,-,-,0,-
kni_enchant,1,apply,0,0,0,0,0,-,kni_enchant,effect_value,int,0,duration_sec,vit,0,-,-,0,-
kni_might,1,apply,0,0,0,0,0,-,kni_might,effect_value,ldr,0,-,-,0,-,-,0,-
kni_fanaticism,1,apply,0,0,0,0,0,-,kni_fanaticism,effect_value,ldr,0,-,-,0,-,-,0,-
kni_defiance,1,apply,0,0,0,0,0,-,kni_defiance,effect_value,ldr,0,-,-,0,-,-,0,-
arc_snipe,1,hit,1,3,0,0,0,-,-,mult_pct,str,0,-,-,0,-,-,0,-
arc_rapid,1,hit,3,0.55,0,0,0,-,-,mult_pct,str,0,hits,agi,0,-,-,0,-
arc_multishot,1,hit,1,1.2,0.4,0,0,-,-,mult_pct,str,0,decay_pct,agi,0,-,-,0,-
arc_guided,1,hit,1,2.7,0.15,0,0,-,-,mult_pct,str,0,decay_pct,agi,0,-,-,0,-
arc_pierce,1,apply,0,0,0,0,0,-,arc_pierce,effect_value,agi,0,duration_sec,vit,0,-,-,0,-
arc_poison,1,apply,0,0,0,0,0,-,arc_poison,effect_value,int,0,duration_sec,vit,0,-,-,0,-
mag_fireball,1,hit,1,3.1,0,0,0,fire,-,mult_pct,int,0,-,-,0,-,-,0,-
mag_inferno,1,hit,1,1.3,0,0,0,fire,-,mult_pct,int,0,-,-,0,-,-,0,-
mag_iceblast,1,hit,1,1.8,0,0,0,cold,-,mult_pct,int,0,-,-,0,-,-,0,-
mag_frostnova,1,hit,1,1.15,0,0,0,cold,-,mult_pct,int,0,-,-,0,-,-,0,-
mag_lightning,1,hit,1,2.2,0,0.1,2,lightning,-,mult_pct,int,0,proc_mult_pct,luck,0,-,-,0,-
mag_chain,1,hit,1,1.3,0.3,0.1,2,lightning,-,mult_pct,int,0,decay_pct,agi,0,proc_mult_pct,luck,0,-
mag_focus,1,apply,0,0,0,0,0,-,mag_focus,effect_value,int,0,duration_sec,vit,0,-,-,0,-
mag_frozenwall,1,summon,0,0.8,0,0,0,-,-,mult_pct,int,0,-,-,0,-,-,0,-
pri_judgment,1,hit,1,2.2,0,0,0,-,-,mult_pct,int,0,-,-,0,-,-,0,-
pri_heal,1,heal,0,1.6,0,0,0,-,-,mult_pct,int,0,-,-,0,-,-,0,-
pri_grace,1,apply,0,0,0,0,0,-,pri_grace,effect_value,ldr,0,duration_sec,vit,0,-,-,0,-
pri_haste,1,apply,0,0,0,0,0,-,pri_haste,effect_value,ldr,0,duration_sec,vit,0,-,-,0,-
pri_cure,1,heal,0,2.2,0,0,0,-,-,mult_pct,int,0,-,-,0,-,-,0,-
pri_regen,1,apply,0,0,0,0,0,-,pri_regen,effect_value,ldr,0,duration_sec,vit,0,-,-,0,-
pri_penitence,1,apply,0,0,0,0,0,-,pri_penitence,effect_value,cha,0,-,-,0,-,-,0,-
pri_bind,1,apply,0,0,0,0,0,-,pri_bind,effect_value,cha,0,-,-,0,-,-,0,-
mon_summon_goblin,1,call,0,0,0,0,0,-,-,-,-,0,-,-,0,-,-,0,-
mon_selfdestruct,1,fixed,1,0.3,0,0,0,-,-,-,-,0,-,-,0,-,-,0,-
