option_id,cond_id,arg,stat,unit,description_kr
opt_march_atk,always,-,atk_pct,0.02,무조건 — 리롤의 바닥값. unit = 그 능력치의 기준값이고 등급 값은 tactic_score.csv 의 배수를 곱한다. ⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_march_hp,always,-,hp_pct,0.03,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_march_aspd,always,-,aspd_pct,0.02,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_march_cdr,always,-,cooldown_reduction,0.02,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_march_def,always,-,def_flat,5,고정값 채널(_flat)은 정수로 반올림한다. ⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_march_res,always,-,res_all,0.03,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_sin_spread,party_sin_all_diff,-,res_all,0.03,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_class_pair,party_cls_same2,-,aspd_pct,0.02,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_sin_trio,party_sin_same3,-,crit_damage,0.06,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_gear_wrath,gear_sin3,wrath,crit_rate,0.02,arg = 조건 사전의 sin 자리를 이 옵션이 정한다. ⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_gear_sloth,gear_sin3,sloth,cooldown_reduction,0.02,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_gear_no_pride,gear_no_sin,pride,atk_pct,0.02,「없으면」 — 오만 장비를 포기하고 공격으로 기운다(빠진 것을 메우지 않는다 · §2-3). ⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_lead_knight,leader_cls,knight,def_flat,5,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_lead_priest,leader_cls,priest,hp_pct,0.03,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_front_priest,front_priest,-,atk_pct,0.02,조건이 직업을 이미 정했다(사제) — arg 는 비운다. ⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
opt_bond_100,bond_100,-,atk_pct,0.02,⚠임시 — 2026-09-22 간단 풀 · 기획 완료 뒤 다시 정한다 (tactic_card_design §5-8)
