base_id,group_id,name_kr,name_en,make_level
long_sword,sword2h,롱 소드,Long Sword,1
claymore,sword2h,클레이모어,Claymore,20
highland_blade,sword2h,하이랜드 블레이드,Highland Blade,50
bastard_sword,sword2h,바스타드 소드,Bastard Sword,30
balrog_blade,sword2h,발록 블레이드,Balrog Blade,60
zweihander,sword2h,츠바이핸더,Zweihander,40
colossus_blade,sword2h,콜로서스 블레이드,Colossus Blade,70
hatchet,axe,해칫,Hatchet,20
axe,axe,액스,Axe,1
tomahawk,axe,토마호크,Tomahawk,50
great_axe,axe,그레이트 액스,Great Axe,30
berserker_axe,axe,버서커 액스,Berserker Axe,60
battle_axe,axe,배틀 액스,Battle Axe,40
decapitator,axe,데카피테이터,Decapitator,70
club,mace,클럽,Club,1
flanged_mace,mace,플랜지드 메이스,Flanged Mace,20
reinforced_mace,mace,리인포스드 메이스,Reinforced Mace,50
battle_hammer,mace,배틀 해머,Battle Hammer,30
legendary_mallet,mace,레전더리 맬릿,Legendary Mallet,60
war_club,mace,워 클럽,War Club,40
ogre_maul,mace,오우거 몰,Ogre Maul,70
pike,spear,파이크,Pike,1
thresher,spear,스레셔,Thresher,20
giant_thresher,spear,자이언트 스레셔,Giant Thresher,50
halberd,spear,할버드,Halberd,30
cryptic_axe,spear,크립틱 액스,Cryptic Axe,60
lance,spear,랜스,Lance,40
war_pike,spear,워 파이크,War Pike,70
short_bow,bow,숏 보우,Short Bow,1
long_bow,bow,롱 보우,Long Bow,20
great_bow,bow,그레이트 보우,Great Bow,50
rune_bow,bow,룬 보우,Rune Bow,30
diamond_bow,bow,다이아몬드 보우,Diamond Bow,60
gothic_bow,bow,고딕 보우,Gothic Bow,40
hydra_bow,bow,하이드라 보우,Hydra Bow,70
short_staff,staff,숏 스태프,Short Staff,1
long_staff,staff,롱 스태프,Long Staff,20
gnarled_staff,staff,날드 스태프,Gnarled Staff,50
gothic_staff,staff,고딕 스태프,Gothic Staff,30
elder_staff,staff,엘더 스태프,Elder Staff,60
rune_staff,staff,룬 스태프,Rune Staff,40
archon_staff,staff,아콘 스태프,Archon Staff,70
eagle_orb,orb,이글 오브,Eagle Orb,1
heavenly_stone,orb,헤븐리 스톤,Heavenly Stone,20
demon_heart,orb,데몬 하트,Demon Heart,50
sacred_globe,orb,세이크리드 글로브,Sacred Globe,30
eldritch_orb,orb,엘드리치 오브,Eldritch Orb,60
swirling_crystal,orb,스월링 크리스탈,Swirling Crystal,40
dimensional_shard,orb,디멘셔널 샤드,Dimensional Shard,70
scepter,crucifix,셉터,Scepter,1
divine_scepter,crucifix,디바인 셉터,Divine Scepter,20
caduceus,crucifix,카두케우스,Caduceus,50
rune_scepter,crucifix,룬 셉터,Rune Scepter,30
mighty_scepter,crucifix,마이티 셉터,Mighty Scepter,60
grand_scepter,crucifix,그랜드 셉터,Grand Scepter,40
seraph_rod,crucifix,세라프 로드,Seraph Rod,70
psalter,bible,솔터,Psalter,1
breviary,bible,브리비어리,Breviary,20
missal,bible,미설,Missal,50
lectern_bible,bible,렉턴 바이블,Lectern Bible,30
great_bible,bible,그레이트 바이블,Great Bible,60
wicked_bible,bible,위키드 바이블,Wicked Bible,40
apocrypha,bible,아포크리파,Apocrypha,70
crossbow,crossbow,크로스보우,Crossbow,1
light_crossbow,crossbow,라이트 크로스보우,Light Crossbow,20
chu_ko_nu,crossbow,추코누,Chu-Ko-Nu,50
heavy_crossbow,crossbow,헤비 크로스보우,Heavy Crossbow,30
ballista,crossbow,발리스타,Ballista,60
demon_crossbow,crossbow,데몬 크로스보우,Demon Crossbow,40
colossus_crossbow,crossbow,콜로서스 크로스보우,Colossus Crossbow,70
